RESULTADOS;;;;;;;;;;;;;;;;;;;
INSTACIAS;;GULOSO;;;;;;RANDOMICO;;;;;;REATIVO;;;;;;
Nome;NUM-NOS-IN;MS;TEMP;MSG;AlFA;NUM-IT;NUM-NOS-S;MS;TEMP;MSR;AlFA;NUM-IT;NUM-NOS-S;MS;TEMP;MSRE;AlFA;NUM-IT;NUM-NOS-S
cc3-4n.txt;64;5951;1;6421;0;1;61;5951;57;5951;0.4;100;58;5951;54;5997;0.3;100;58;
cc9-2n.txt;512;43019;29;44597;0;1;481;43019;2863;43227;0.4;100;468;43019;2862;43019;0.5;100;464;
cc7-3n.txt;2187;198821;806;203005;0;1;2097;198821;80257;199307;0.4;100;2070;198821;79784;198821;0.5;100;2060;
cc3-1n.txt;1728;170089;866;172021;0;1;1710;170089;86790;170089;0.4;100;1697;170089;86676;170215;0.5;100;1699;
cc5-3n.txt;243;21649;6;22517;0;1;228;21649;646;21651;0.4;100;222;21649;664;21649;0.5;100;219;
g10000.txt;10000;132628;852;132742;0;1;1513;132628;89489;151333;0.4;100;1659;132628;88583;132628;0.1;100;1499;
cc6-3n.txt;729;65019;70;67019;0;1;697;65019;7061;65283;0.4;100;685;65019;7028;65019;0.5;100;680;
cc1-2n.txt;2048;174644;610;175641;0;1;1889;174644;60598;174644;0.4;100;1873;174644;60638;174780;0.2;100;1882;
cc4-2n.txt;1024;86047;126;87051;0;1;934;86047;12750;86621;0.4;100;929;86047;12680;86047;0.1;100;928;
cc8-2n.txt;4096;350768;2669;352031;0;1;3768;350768;267503;352055;0.4;100;3753;350768;267607;350768;0.1;100;3760;
g_1000.txt;1000;77572;4338;78098;0;1;846;77572;-3.239e+07;80346;0.4;100;858;77572;402276;77572;0.1;100;842;
cc3-5n.txt;125;10512;2;10891;0;1;121;10512;198;10523;0.4;100;118;10512;197;10512;0.4;100;117;
cc3-10n.txt;1000;97848;258;99347;0;1;988;97848;25221;98071;0.4;100;980;97848;25073;97848;0.5;100;978;
cc3-11n.txt;1331;129773;476;130959;0;1;1313;129773;47947;130047;0.4;100;1307;129773;48173;129773;0.5;100;1302;
cc6-2n.txt;64;6691;0;7333;0;1;62;6691;41;6691;0.4;100;56;6691;42;6693;0.5;100;56;

